cities,distance,runtime_ms,samples
50,3080.86,3142.15,6
100,3828.23,64262.37,1
4,1136.30,0.33,6
8,1386.16,5.27,6
12,1486.25,15.25,6
16,1608.22,61.48,11
20,1932.15,178.74,11
24,2292.05,235.98,6
28,2255.88,399.30,6
32,2290.77,745.85,6
36,2313.43,1064.66,6
40,2583.15,1551.52,6
44,2611.43,2217.30,6
48,2760.85,3084.09,6
23,2068.95,157.44,6
25,2079.76,281.73,6
30,2509.65,482.14,6
35,2490.19,816.43,6
45,2740.52,2507.57,6
60,3294.68,6104.96,6
70,3432.05,11534.16,6
80,3617.29,24351.86,1
85,3590.21,37607.78,1
90,3902.48,36727.16,1
21,1970.68,141.29,6
22,2063.90,149.50,11
15,1602.63,42.34,5
17,1610.33,68.74,10
18,1871.05,112.70,10
19,1913.07,106.48,10
5,1136.73,0.41,5
6,1205.34,1.20,5
7,1381.09,2.00,5
9,1433.24,5.37,5
10,1451.53,10.38,6
11,1481.27,9.80,5
13,1494.66,16.26,5
14,1526.43,29.28,5
125,4362.32,121549.64,1
150,4909.34,254749.64,1
175,5328.24,479303.50,1
200,5675.06,781414.83,1
26,2087.50,380.58,6
27,2136.86,383.55,6
29,2503.93,402.34,6
31,2456.65,558.58,6
33,2473.52,754.40,6
34,2474.27,742.89,6
37,2426.99,1102.26,6
38,2402.97,1300.18,6
39,2546.67,1400.54,6
