cities,distance,runtime_ms,iterations,samples
4,1136.30,223.11,100.00,13
8,1386.16,681.03,100.00,13
12,1486.25,1245.94,50.00,8
16,1608.22,2303.78,50.00,8
10,1451.53,1531.19,100.00,6
20,1932.15,4025.21,50.00,8
50,2837.05,45294.66,100.00,6
100,3952.39,273073.65,100.00,1
35,2323.42,21539.58,100.00,6
70,3335.46,107477.61,100.00,1
85,3578.81,171747.97,100.00,1
23,2025.73,9448.91,100.00,6
24,2033.59,10377.54,100.00,6
25,2036.54,11515.33,100.00,6
28,2178.64,14081.62,100.00,6
30,2292.67,16327.80,100.00,6
32,2307.22,17653.51,100.00,6
36,2313.43,22215.39,100.00,6
40,2475.76,29337.64,100.00,6
44,2515.90,33446.73,100.00,6
45,2697.04,35618.09,100.00,6
48,2656.99,41504.88,100.00,6
60,3049.06,72645.16,,1
80,3476.44,142978.14,,1
90,3856.06,197743.57,,1
21,1970.68,7363.21,100.00,5
22,1971.21,9106.46,100.00,5
15,1602.63,3433.79,100.00,5
17,1610.33,4542.19,100.00,5
18,1871.05,5064.90,100.00,5
19,1913.07,5720.10,100.00,5
5,1136.73,433.13,100.00,5
6,1205.34,537.25,100.00,6
7,1381.09,759.15,100.00,5
9,1433.24,1175.26,100.00,5
11,1481.27,1689.18,100.00,5
13,1494.66,2400.98,100.00,5
14,1526.43,2842.90,100.00,5
125,4344.45,615437.43,100.00,1
150,4926.40,838043.88,100.00,1
175,5398.10,1318139.02,100.00,1
200,5643.42,1997431.59,100.00,1
26,2044.28,12201.42,100.00,1
27,2093.64,12265.69,100.00,1
29,2238.88,14149.36,100.00,1
31,2287.46,15480.34,100.00,1
33,2293.97,17915.35,100.00,1
34,2294.72,18930.47,100.00,1
37,2408.24,22544.11,100.00,1
38,2411.77,23728.33,100.00,1
39,2455.26,24650.15,100.00,1
