City Size,Best Distance,Winning Algorithm(s),Beaten Algorithms
23,2025.73,"Christofides, Genetic, Ant Colony, Simulated Annealing Quick, ILP, Nearest Neighbor","3-opt, 2-opt"
24,2033.59,"Christofides, Genetic, Ant Colony, Simulated Annealing Quick, ILP, Nearest Neighbor","3-opt, 2-opt"
25,2036.54,"Christofides, 3-opt, Genetic, Ant Colony, Simulated Annealing Quick, ILP, Nearest Neighbor",2-opt
26,NONE,NONE,NONE
27,NONE,NONE,NONE
28,2178.64,"Genetic, Ant Colony, Simulated Annealing Quick, ILP, Nearest Neighbor","3-opt, Christofides, 2-opt"
29,NONE,NONE,NONE
30,2258.84,"3-opt, Genetic, Simulated Annealing Quick, ILP","Christofides, Nearest Neighbor, Ant Colony, 2-opt"
31,NONE,NONE,NONE
32,2290.77,"2-opt, Simulated Annealing Quick","ILP, 3-opt, Christofides, Nearest Neighbor, Ant Colony"
33,NONE,NONE,NONE
34,NONE,NONE,NONE
35,2310.64,"Simulated Annealing Quick, Nearest Neighbor","ILP, 3-opt, Christofides, Ant Colony, 2-opt"
36,2313.43,"Christofides, 2-opt, 3-opt, Ant Colony, Simulated Annealing Quick, Nearest Neighbor",ILP
37,NONE,NONE,NONE
38,NONE,NONE,NONE
39,NONE,NONE,NONE
40,2448.66,Simulated Annealing Quick,"ILP, 3-opt, Christofides, Nearest Neighbor, Ant Colony, 2-opt"
41,NONE,NONE,NONE
42,NONE,NONE,NONE
43,NONE,NONE,NONE
44,2515.90,Ant Colony,"Christofides, ILP, 2-opt"
45,2623.76,Christofides,"ILP, Ant Colony, 2-opt"
46,NONE,NONE,NONE
47,NONE,NONE,NONE
48,2656.99,Ant Colony,"Christofides, 2-opt"
49,NONE,NONE,NONE
50,2820.67,Christofides,"Ant Colony, 2-opt"
51,NONE,NONE,NONE
52,NONE,NONE,NONE
53,NONE,NONE,NONE
54,NONE,NONE,NONE
55,NONE,NONE,NONE
56,NONE,NONE,NONE
57,NONE,NONE,NONE
58,NONE,NONE,NONE
59,NONE,NONE,NONE
60,3029.26,Christofides,"Ant Colony, 2-opt"
61,NONE,NONE,NONE
62,NONE,NONE,NONE
63,NONE,NONE,NONE
64,NONE,NONE,NONE
65,NONE,NONE,NONE
66,NONE,NONE,NONE
67,NONE,NONE,NONE
68,NONE,NONE,NONE
69,NONE,NONE,NONE
70,3219.32,Christofides,"Ant Colony, 2-opt"
71,NONE,NONE,NONE
72,NONE,NONE,NONE
