cities,distance,runtime_ms,samples
4,1136.30,5.77,6
8,1386.16,2.86,11
12,1486.25,10.00,6
16,1608.22,35.86,11
20,1932.15,51.60,6
24,2033.59,84.75,6
28,2426.64,110.34,6
32,2324.61,136.34,6
36,2313.43,265.45,6
40,2458.17,315.55,6
50,2820.67,636.26,6
60,3029.26,1026.66,6
70,3219.32,1657.49,6
80,3379.52,1508.88,6
90,3632.21,5412.96,6
100,3733.43,9062.40,6
200,5369.74,123922.10,6
125,4231.89,24737.64,6
150,4656.96,34703.78,6
175,5120.13,67136.56,6
23,2025.73,90.75,6
25,2036.54,71.14,6
30,2436.41,125.31,6
35,2344.66,283.57,6
44,2572.52,461.01,6
45,2623.76,631.22,6
48,2710.96,702.98,6
85,3452.88,1960.06,6
21,1970.68,53.98,5
22,1971.21,78.01,5
13,1494.66,16.20,5
14,1526.43,14.45,5
15,1602.63,16.05,5
17,1610.33,30.57,5
18,1871.05,42.45,5
19,1913.07,39.02,5
5,1136.73,3.87,5
6,1205.34,19.68,6
7,1381.09,2.28,5
9,1433.24,4.51,5
10,1451.53,6.20,5
11,1481.27,7.60,5
26,2044.28,130.03,5
27,2093.64,136.58,5
29,2486.89,184.79,5
31,2448.59,106.43,5
33,2327.81,125.43,5
34,2328.56,143.46,5
37,2399.66,379.57,5
38,2399.67,254.08,5
39,2434.67,384.96,5
