cities,distance,runtime_ms,generations,samples
4,1136.30,1546.23,500.00,7
8,1386.16,5970.33,500.00,6
12,1486.25,19301.84,500.00,11
16,1608.22,50249.09,500.00,2
20,1932.15,115162.93,500.00,1
21,1970.68,125737.57,500.00,1
22,1971.21,156343.09,500.00,1
23,2025.73,181242.18,500.00,1
24,2033.59,210977.83,500.00,1
25,2036.54,235362.84,500.00,1
28,2178.64,274170.80,500.00,1
30,2258.84,353170.47,500.00,1
15,1602.63,37462.72,500.00,1
17,1610.33,55217.48,500.00,1
18,1871.05,68246.26,500.00,1
19,1913.07,91732.32,500.00,1
5,1136.73,1173.24,500.00,5
6,1205.34,1734.09,500.00,5
7,1381.09,2880.45,500.00,5
9,1433.24,6414.07,500.00,5
10,1451.53,9268.71,500.00,6
11,1481.27,11349.33,500.00,5
13,1494.66,19893.05,500.00,5
14,1526.43,25380.43,500.00,5
32,2290.77,392480.80,500.00,1
35,2310.64,503072.41,500.00,1
36,2313.43,556184.40,500.00,1
40,2448.66,733411.80,500.00,1
45,2599.94,979596.54,500.00,1
48,2648.19,1265595.95,500.00,1
44,2515.90,970510.97,500.00,1
50,2855.14,1388513.32,500.00,1
60,3031.17,2295422.43,500.00,1
70,3271.56,3474114.48,500.00,1
80,3366.82,5513981.57,500.00,1
85,3452.88,6081135.59,500.00,1
90,3672.74,7568201.78,500.00,1
100,4049.69,9965987.48,500.00,1
26,2044.28,252242.91,500.00,1
27,2093.64,268287.16,500.00,1
29,2238.88,316777.98,500.00,1
31,2271.01,355183.03,500.00,1
33,2293.97,420008.88,500.00,1
34,2294.72,482092.09,500.00,1
37,2365.64,586190.76,500.00,1
38,2399.67,637093.72,500.00,1
39,2434.67,697890.18,500.00,1
125,4230.08,19414171.94,500.00,1
150,4750.69,31393085.90,500.00,1
