cities,2-opt,3-opt,Ant Colony,Christofides,Genetic,ILP,Nearest Neighbor,Simulated Annealing Quick
23,1.7348760330578512,26.611460055096416,104.12022038567493,1.0,1997.1590082644627,337.78358126721764,32.42776859504132,386.2072727272727
24,2.784424778761062,39.09356932153392,122.44884955752214,1.0,2489.4139233038345,582.8199410029498,55.503480825958704,580.6807079646018
25,3.9602192859150973,66.57028394714648,161.8685690188361,1.0,3308.445881360697,149.7926623559179,74.8904976103458,684.2174585324713
26,2.9268630316080904,52.08021225870953,93.83542259478583,1.0,1939.8824117511344,401.87879720064603,49.90825194185957,401.3716065523341
27,2.808244252452775,45.96566115097378,89.80590130326549,1.0,1964.3224483819004,400.80809781812854,54.52130619417191,433.84309562161366
28,3.6188145731375747,61.34864962842124,127.62026463657786,1.0,2484.7815841943084,404.25203915171284,83.85517491390247,665.1991118361428
29,2.1772823204718867,47.375615563612754,76.5699442610531,1.0,1714.25932139185,242.3912549380378,45.96417555062503,370.18263975323345
30,3.8475780065437712,67.63634187215705,130.2992578405554,1.0,2818.37419200383,688.5871837842151,70.21195435320405,669.115473625409
31,5.248332237151179,113.91017570233954,145.45090669923894,1.0,3337.24541952457,278.436155219393,83.1070186977356,792.0623884243164
32,5.47051488924747,117.69752090362329,129.48151679624468,1.0,2878.691506527798,15547.148672436555,84.52471761772041,795.8843332844359
33,6.014510085306545,130.31977995694808,142.83145977836242,1.0,3348.552021047596,23040.736426692176,96.89651598501155,807.7706290361157
34,5.178377248013383,123.73476927366514,131.95643384915655,1.0,3360.463474139133,589.6716854872438,102.66666666666666,777.2709466053254
35,2.8791127411221216,80.25764361533308,75.95859928765385,1.0,1774.067813943647,2907.9747505025216,62.653207320943686,450.434495891667
36,4.010774157091731,105.88001506875118,83.68954605387079,1.0,2095.251083066491,1794.425918252025,77.26197023921642,527.4738745526465
37,2.903970282161393,65.44041942197751,59.3938140527439,1.0,1544.3548225623733,5542.609294728245,60.197091445583155,373.0607266116922
38,5.117207178841309,119.650661209068,93.38920812342569,1.0,2507.453243073048,17934.161248425695,95.5733233627204,587.7134367128464
39,3.6381442227763925,89.65001558603491,64.03301641729011,1.0,1812.8901184538656,1391.8689993765588,66.8586606400665,421.0251714463841
40,4.916875297100301,135.8375534780542,92.9730312153383,1.0,2324.2332435430203,10135.227665980034,88.52194580890507,603.193376643955
44,4.809657057330644,123.366044120518,72.55098587883127,1.0,2105.1842042471962,,107.24834602286285,510.92548968569014
45,3.972576914546434,110.74291055416495,56.42737872690979,1.0,1551.9098571021198,,80.86074585722885,413.8954088907195
48,4.387166064468406,146.73903951748272,59.04133830265441,1.0,1800.3299524879797,,86.47214714501123,437.3793991294204
50,4.938468550592526,191.7010341684217,71.188916480684,1.0,2182.3049067991074,,127.41351020023261,550.5861754628611
60,5.946428223559892,305.38309664348463,70.75873219955973,1.0,2235.815586464847,,180.2837940506107,577.1465334190482
70,6.958811214547297,394.08956916783814,64.84359483315133,1.0,2096.0093152899867,,192.17375067119562,554.8118118359689
80,16.1390302741106,893.865887280632,94.75779386034675,1.0,3654.3539380202533,,511.7352605906367,910.024859498436
85,19.18705549830107,1015.197616399498,87.62383294388948,1.0,3102.5252237176414,,499.27446608777285,853.7546707753844
90,6.78504182554462,527.5348386095593,36.531504019981675,1.0,1398.163256332949,,291.5429580118826,351.28167952469624
100,7.091098384533899,532.9446272510593,30.13259732521187,1.0,1099.707304908192,,300.268198269774,293.92678650247177
125,4.913550362928719,530.4032102496438,24.878583001450423,1.0,784.802913293265,,281.6303839008086,207.40856807682545
150,7.340688535946229,985.9053503681732,24.148489876318948,1.0,904.601340257459,,545.7284612800105,261.00706925873783
175,7.139232334811316,,19.633699135016748,1.0,,,695.9568475060385,211.78112149326688
200,6.305693899635335,,16.11844529748931,1.0,,,,163.34839984151333
