cities,2-opt,3-opt,Ant Colony,Christofides,Genetic,ILP,Nearest Neighbor,Simulated Annealing Quick
23,1.021335518553805,1.0004887127109734,1.0,1.0,1.0,1.0,1.0,1.0
24,1.1270954322159334,1.0004819063823092,1.0,1.0,1.0,1.0,1.0,1.0
25,1.021222269142762,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0211419179368775,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0206434726122926,1.1460184176840336,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0354533103220358,1.1013476297139502,1.0,1.1138324826497263,1.0,1.0,1.0,1.0
29,1.1183850853998427,1.0151950975487745,1.0,1.1107741370685342,1.0,1.0,1.0,1.0
30,1.1110348674540915,1.0,1.0149767137114625,1.0786111455437302,1.0,1.0,1.0047236634732872,1.0
31,1.0817433652868107,1.0,1.007243473168326,1.0781942836006886,1.0,1.0,1.0012945781832752,1.0
32,1.0,1.1209942508414201,1.0071809915443277,1.0147723254626175,1.0,1.0,1.0012877765991348,1.0
33,1.0782704220194685,1.0,1.0,1.0147517186362507,1.0,1.0,1.0012380283961866,1.0
34,1.0782448403291034,1.0,1.0,1.0147468972249338,1.0,1.0,1.0,1.0
35,1.077705743863172,1.0142384793823356,1.0055309351521657,1.0147231935740748,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,1.0259337853604098,1.0,1.0180078118395022,1.0143808863563348,1.0,1.0,1.0,1.0
38,1.0013751890884997,1.0,1.0050423599911653,1.0,1.0,1.0,1.0,1.0
39,1.0460021275984015,1.0822123737508573,1.0084569982790277,1.0,1.0,1.0,1.0,1.0
40,1.054923917571243,1.0389396649596108,1.011067277613062,1.0038837568302665,1.0,1.0,1.0038837568302665,1.0
44,1.037970507571843,1.1196629436782066,1.0,1.0225048690329503,1.0,,1.0,1.0
45,1.054070478549505,1.0317468864666108,1.0373470157003624,1.009161749886536,1.0,,1.0,1.0
48,1.0425422647166556,1.0212220422250669,1.0033230244053484,1.0237029820367873,1.0,,1.0,1.0
50,1.0922440413093344,1.0937295039830963,1.0058071309298855,1.0,1.0122205008030007,,1.0070444256151907,1.0122205008030007
60,1.087618758376633,1.070472656688432,1.0065362497771733,1.0,1.0006305170239596,,1.0018354317556102,1.0
70,1.0696309639939787,1.073252447306171,1.0395277735357458,1.0033316399834198,1.0196127319136203,,1.008199761268828,1.0
80,1.0744766170809372,1.116379924908512,1.0326386578584668,1.0038496269188726,1.0000772301696688,,1.0016515374744546,1.0
85,1.0397725956303143,1.0564108801927665,1.0364710039155718,1.0,1.0,,1.0120044716294803,1.0016102499942077
90,1.0744092439589121,1.0102609705936607,1.061629145891895,1.0,1.011158495791818,,1.0015307484974711,1.018294647060605
100,1.0253921996662587,1.1087820047516628,1.0586484814232489,1.0,1.0847103066081325,,1.00080355062235,1.0040820371615378
125,1.0512551721478782,1.0685530999149322,1.0469487641066793,1.0198234541392848,1.019387270672325,,1.0142783814460565,1.0
150,1.0633757513402284,1.048837385606758,1.0670709914983483,1.0087095900796015,1.0290117506904206,,1.0124524828071695,1.0
175,1.0657588389192476,,1.0797322921583847,1.0241325097810174,,,1.0101370542536425,1.0
200,1.081454068701621,,1.0754246687069566,1.023271502128584,,,,1.0
