cities,distance,runtime_ms,samples
4,1136.30,414.41,7
8,1386.16,2049.01,6
12,1486.25,6033.50,6
16,1608.22,13938.31,11
20,1932.15,24328.23,6
24,2033.59,49212.69,1
28,2178.64,73398.07,1
32,2290.77,108510.87,1
36,2313.43,140017.94,1
40,2448.66,190337.67,1
23,2025.73,35048.31,6
25,2036.54,48675.23,1
30,2258.84,83846.86,1
35,2310.64,127729.71,1
21,1970.68,26597.05,5
22,1971.21,33028.41,5
15,1602.63,10498.50,5
17,1610.33,14561.66,5
18,1871.05,17090.39,5
19,1913.07,20076.66,5
5,1136.73,709.83,5
6,1205.34,748.95,5
7,1381.09,1122.68,5
9,1433.24,2505.84,5
10,1451.53,3309.37,5
11,1481.27,4251.59,5
13,1494.66,6761.50,5
14,1526.43,8195.03,5
44,2515.90,235541.76,1
45,2599.94,261259.06,1
48,2648.19,307468.97,1
50,2855.14,350315.96,1
60,3029.26,592533.26,1
70,3208.63,919595.03,1
80,3366.56,1373118.31,1
85,3458.44,1673410.38,1
90,3698.66,1901473.68,1
100,3748.67,2663682.11,1
125,4149.63,5130798.49,1
150,4616.75,9057931.91,1
175,4999.48,14218255.97,1
26,2044.28,52190.35,1
27,2093.64,59254.29,1
29,2238.88,68406.05,1
31,2271.01,84299.20,1
33,2293.97,101318.67,1
34,2294.72,111507.29,1
37,2365.64,141602.66,1
38,2399.67,149326.23,1
39,2434.67,162077.85,1
200,5247.62,20242476.74,1
